0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/autoNumeric.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/c3.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/chartDataEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/d3.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/descriptionsEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/discussionEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/ckeditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/elementCollectionEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/htmlEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/yahoo-dom-event.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/textEditor.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/jquery-ckeditor-adapter.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/xava/editors/js/yahoo-treeview-min.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/js/naviox.js?ox=5.8 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jan/2018:11:33:27 -0400] "GET /Afrodita/naviox/images/corner.png HTTP/1.1" 304 -
